"publisher","name","align","eye","hair","sex","alive","appearances","year"
"dc","James Shaw (New Earth)","Good","Brown","Brown","Male","Living",10,1988
"dc","Lucius Best (New Earth)","Good","Brown","Brown","Male","Living",10,1988
"dc","Mashenka Medviedenko (New Earth)","Good","Green","Brown","Female","Living",10,1988
"dc","Wintley Roth (New Earth)","Good","Blue","Black","Male","Living",10,1988
"dc","Amazing Grace (New Earth)","Bad","Green","Red","Female","Living",10,1987
"dc","Decay (New Earth)","Bad","others","Red","Female","Living",10,1987
"dc","Earl Dukeston (New Earth)","Bad","Blue","Red","Male","Living",10,1986
"dc","Theodore Gaynor (New Earth)","Bad","Green","Blond","Male","Deceased",10,1984
"dc","Clarissa Clemens (New Earth)","Bad","Green","Black","Female","Living",10,1983
"dc","Theresa Gomez (New Earth)","Good","Brown","Black","Female","Living",10,1983
"dc","Joseph Rigger (New Earth)","Bad","Brown","Black","Male","Living",10,1979
"dc","Tiffany Fox (New Earth)","Good","Brown","Black","Female","Living",10,1979
"dc","Andrew Vinson (Earth-Two)","Neutral","Blue","Black","Male","Living",10,1978
"dc","Sumo (New Earth)","Bad","Brown","Black","Male","Deceased",10,1978
"dc","Frank Tanner (New Earth)","Bad","Brown","Black","Male","Living",10,1977
"dc","Robert Coleman (New Earth)","Bad","others","Black","Male","Living",10,1977
"dc","Tiger Moth (New Earth)","Bad","Blue","Blond","Female","Living",10,1966
"dc","Jonathan Dubrovny (New Earth)","Bad","Black","White","Male","Living",10,1965
"dc","Myrwhydden (New Earth)","Bad","Blue","White","Male","Living",10,1964
"dc","Flying Stag (New Earth)","Good","others","Black","Male","Deceased",10,1961
"dc","Jordan Weir (New Earth)","Bad","others","others","Male","Living",10,1960
"dc","Turtle Man (New Earth)","Bad","Blue","Black","Male","Living",10,1956
"dc","Charles Great Eagle (New Earth)","Good","Brown","Brown","Male","Living",10,1954
"dc","Queen Clea (New Earth)","Bad","Blue","Blond","Female","Living",10,1944
"dc","Sasha (New Earth)","Good","Blue","Brown","Female","Living",9,2009
"dc","Hops Jones (New Earth)","Good","Brown","Black","Male","Living",9,2008
"dc","Johnny Riley (New Earth)","Good","Brown","Brown","Male","Living",9,2008
"dc","Myrto (New Earth)","Bad","Blue","Blond","Female","Living",9,2008
"dc","Philomela (New Earth)","Bad","Blue","Black","Female","Living",9,2008
"dc","Tristessa Delicias (New Earth)","Bad","Green","Black","Female","Living",9,2008
"dc","Nicki Jones (New Earth)","Good","Blue","Brown","Female","Living",9,2006
"dc","Jonathan Stone (New Earth)","Good","Blue","White","Male","Living",9,2005
"dc","Preus (New Earth)","Bad","Blue","Blond","Male","Living",9,2004
"dc","Sweeney (New Earth)","Good","Brown","Black","Female","Living",9,2003
"dc","Mister Fun (New Earth)","Bad","Brown","Brown","Male","Living",9,2002
"dc","Officer Isabella (New Earth)","Good","Brown","Black","Male","Living",9,2002
"dc","Dakota Jamison (New Earth)","Good","Brown","Black","Female","Living",9,2001
"dc","Andrea Rojas (New Earth)","Good","Blue","Red","Female","Living",9,2000
"dc","Selma Tolon (New Earth)","Good","Brown","Black","Female","Living",9,2000
"dc","Edwin Gauss (New Earth)","Bad","Brown","Black","Male","Living",9,1999
"dc","Lucas Ludlow-Dalt (New Earth)","Bad","Brown","Brown","Male","Deceased",9,1998
"dc","Maura Rayner (New Earth)","Good","Blue","Blond","Female","Deceased",9,1997
"dc","Kai (New Earth)","Bad","Brown","Black","Male","Deceased",9,1995
"dc","Muscles McGinnis (New Earth)","Good","Black","Brown","Male","Living",9,1995
"dc","Nina Damfino (New Earth)","Bad","Black","Black","Female","Living",9,1995
"dc","Sarah Primm (New Earth)","Good","Black","others","Female","Deceased",9,1995
"dc","Tiamat (New Earth)","Bad","Blue","Blond","Female","Living",9,1995
"dc","Ramsey Murdoch (New Earth)","Bad","Blue","Red","Male","Living",9,1994
"dc","Alia (New Earth)","Good","Brown","Red","Female","Living",9,1993
"dc","Carleton LeHah (New Earth)","Bad","Green","White","Male","Deceased",9,1992
"dc","Cassandra Arnold (New Earth)","Bad","Blue","Blond","Male","Deceased",9,1992
"dc","Daniel Geller (New Earth)","Bad","Blue","Brown","Male","Deceased",9,1992
"dc","Lillian Worth (New Earth)","Neutral","Brown","Black","Female","Deceased",9,1992
"dc","Chantinelle (New Earth)","Neutral","Brown","Brown","Female","Living",9,1991
"dc","Mister Z (New Earth)","Bad","Black","Black","Male","Living",9,1991
"dc","Claire Montgomery (New Earth)","Neutral","Green","Red","Female","Living",9,1990
"dc","Obeah Man (New Earth)","Bad","Black","Black","Male","Living",9,1990
"dc","Willoughby Kipling (New Earth)","Good","Brown","Black","Male","Living",9,1990
"dc","Athyns (New Earth)","Neutral","Brown","others","Male","Living",9,1989
"dc","Lin Koo Teng (New Earth)","Good","Brown","Black","Female","Living",9,1989
"dc","Penthesilea (New Earth)","Bad","Brown","Brown","Female","Deceased",9,1989
"dc","Eleanor Shaw (New Earth)","Good","Blue","Blond","Female","Living",9,1988
"dc","Igor Medviedenko (New Earth)","Good","others","Blond","Male","Living",9,1988
"dc","Ilya Trepliov (New Earth)","Good","Blue","Brown","Male","Living",9,1988
"dc","Kazuo Hasegawa (New Earth)","Bad","Brown","Black","Male","Deceased",9,1988
"dc","Roger Simmons (New Earth)","Good","Brown","Black","Male","Deceased",9,1988
"dc","Raza Kattuah (New Earth)","Bad","Brown","Black","Male","Deceased",9,1987
"dc","Roger Huntoon (New Earth)","Good","Blue","Brown","Male","Living",9,1987
"dc","Prince Garnet (New Earth)","Good","Brown","Black","Male","Living",9,1985
"dc","Nathaniel Dusk (New Earth)","Neutral","Brown","Brown","Male","Living",9,1984
"dc","Gretti (New Earth)","Bad","Black","others","Male","Deceased",9,1983
"dc","Lady Amethyst (New Earth)","Good","others","Blond","Female","Deceased",9,1983
"dc","Chaim Lavon (New Earth)","Good","Brown","Black","Male","Living",9,1982
"dc","Gayle Marsh (New Earth)","Bad","Blue","Black","Female","Deceased",9,1982
"dc","Pan (New Earth)","Neutral","Brown","Brown","Male","Deceased",9,1982
"dc","Eve Doremus (Earth-One)","Good","Blue","Red","Female","Living",9,1968
"dc","Farley Fleeter (New Earth)","Bad","Blue","Brown","Male","Living",9,1967
"dc","Mark Logan (New Earth)","Good","Blue","Blond","Male","Deceased",9,1967
"dc","Beast With No Name (New Earth)","Neutral","Black","Red","Male","Living",9,1966
"dc","Thomas Dillon (New Earth)","Bad","Brown","Blond","Male","Deceased",9,1966
"dc","Alphonso Giovanni (New Earth)","Good","Black","Black","Male","Deceased",9,1955
"dc","Darwin Jones (New Earth)","Good","Brown","Brown","Male","Living",9,1950
"dc","C.C. Haly (New Earth)","Good","Brown","White","Male","Deceased",9,1940
"dc","Margaret Mahoney (New Earth)","Good","Green","Red","Female","Deceased",8,2010
"dc","Rani (New Earth)","Good","Brown","Brown","Female","Living",8,2010
"dc","Anica Balcescu (New Earth)","Bad","Brown","Brown","Female","Living",8,2008
"dc","Dodger (New Earth)","Neutral","Brown","Brown","Male","Living",8,2008
"dc","Duel Eknham (New Earth)","Bad","others","Black","Male","Deceased",8,2008
"dc","Kho Kharhi (New Earth)","Good","others","Black","Female","Living",8,2008
"dc","Trang Jones (New Earth)","Good","Brown","Black","Female","Living",8,2008
"dc","Bizarro Lois Lane (New Earth)","Neutral","Black","Black","Female","Living",8,2007
"dc","Steven Hazard (New Earth)","Bad","Blue","Blond","Male","Deceased",8,2007
"dc","Amanda Turner (New Earth)","Good","Green","Red","Female","Living",8,2006
"dc","Niang Guan Jun (New Earth)","Good","Brown","Black","Female","Living",8,2006
"dc","Rio Ferdinand (New Earth)","Bad","Blue","Black","Female","Living",8,2006
"dc","Strega II (New Earth)","Bad","Blue","Red","Female","Deceased",8,2006
"dc","Vanguard (New Earth)","Good","Black","White","Female","Living",8,2005
"dc","Henry Aquista (New Earth)","Bad","Blue","Black","Male","Deceased",8,2004
"dc","John Mercado (New Earth)","Good","Brown","Brown","Male","Living",8,2004
"dc","Kitty Kumbata (New Earth)","Bad","Green","Black","Female","Living",8,2004
"dc","McCaffrey (New Earth)","Good","Brown","White","Male","Deceased",8,2003
"dc","Daniel Tran (New Earth)","Bad","Brown","Black","Male","Deceased",8,2002
"dc","Hiro Okamura (New Earth)","Good","Black","Black","Male","Living",8,2002
"dc","Rama Khan (New Earth)","Neutral","Brown","Black","Male","Deceased",8,2002
"dc","Anaya (New Earth)","Good","Brown","Brown","Female","Living",8,2001
"dc","Tsaritsa (New Earth)","Bad","Blue","Black","Female","Living",8,2000
"dc","Joshua Hamman (New Earth)","Neutral","Brown","Brown","Male","Living",8,1999
"dc","Rama Chandra (New Earth)","Good","Black","Black","Male","Living",8,1999
"dc","Siren (New Earth)","Bad","Black","Blond","Female","Living",8,1999
"dc","Carom (New Earth)","Bad","White","Red","Male","Living",8,1997
"dc","Misa (New Earth)","Bad","Green","Blond","Female","Living",8,1996
"dc","A.J. (New Earth)","Good","Blue","Blond","Male","Living",8,1995
"dc","Savitar Bandu (New Earth)","Neutral","Brown","Black","Male","Living",8,1995
"dc","Silver Monkey (New Earth)","Bad","Blue","Brown","Male","Deceased",8,1995
"dc","Triton (New Earth)","Neutral","Green","White","Male","Living",8,1995
"dc","Bizarro II (New Earth)","Neutral","Blue","Black","Male","Deceased",8,1994
"dc","Lacey Van Horn (New Earth)","Neutral","Green","Red","Female","Living",8,1994
"dc","Mandra Darrow (New Earth)","Good","Blue","Blond","Female","Deceased",8,1994
"dc","Carter Channel (New Earth)","Good","Blue","Red","Male","Living",8,1993
"dc","Hoppy Greene (New Earth)","Good","Brown","Black","Female","Living",8,1993
"dc","Tally Man I (New Earth)","Bad","White","White","Male","Living",8,1993
"dc","William Kavanagh (New Earth)","Bad","Red","White","Male","Deceased",8,1993
"dc","Thrust (New Earth)","Neutral","others","Blond","Male","Living",8,1992
"dc","Ice Man (New Earth)","Bad","Blue","Black","Male","Deceased",8,1991
"dc","Myra Allen (New Earth)","Good","Brown","Brown","Female","Deceased",8,1991
"dc","Shango (New Earth)","Neutral","Brown","Black","Male","Living",8,1990
"dc","Austin Bowie (New Earth)","Good","Blue","Red","Male","Living",8,1989
"dc","Barbie (New Earth)","Good","Blue","Blond","Female","Living",8,1989
"dc","Carlotta Rivera (New Earth)","Good","Brown","Brown","Female","Living",8,1989
"dc","Gary DeVries (New Earth)","Good","Brown","Black","Male","Living",8,1989
"dc","Michael Morice (New Earth)","Good","Brown","White","Male","Living",8,1989
"dc","Sparta (New Earth)","Neutral","Red","others","Female","Deceased",8,1989
"dc","Agni (New Earth)","Bad","Brown","Black","Male","Living",8,1988
"dc","George Flannery (New Earth)","Good","Brown","Brown","Male","Living",8,1988
"dc","Myron Mazursky (New Earth)","Good","Blue","White","Male","Living",8,1988
"dc","Sally Stone (New Earth)","Good","Blue","Black","Female","Living",8,1988
"dc","Sylvia Kandrey (New Earth)","Good","Blue","Red","Female","Living",8,1988
"dc","Beautia Sivana (New Earth)","Neutral","Blue","Blond","Female","Living",8,1987
"dc","Marnie Herrs (New Earth)","Neutral","Blue","Blond","Female","Living",8,1987
"dc","John Monroe (New Earth)","Bad","Blue","Brown","Male","Deceased",8,1985
"dc","Armando Ramone (New Earth)","Good","Blue","Black","Male","Living",8,1984
"dc","Henry Cannon (New Earth)","Bad","Black","Black","Male","Living",8,1984
"dc","Marschall Saber (New Earth)","Bad","Green","Red","Male","Living",8,1984
"dc","Droxelle (New Earth)","Good","White","White","Female","Living",8,1983
"dc","Herbert Hynde (New Earth)","Bad","Red","others","Male","Living",8,1983
"dc","Lani Gilbert (New Earth)","Bad","Green","Red","Female","Living",8,1982
"dc","Emmylou Hartley (Earth-One)","Neutral","Blue","Blond","Female","Living",8,1981
"dc","Ashiya (New Earth)","Bad","Blue","Black","Female","Living",8,1978
"dc","Clay Stoner (New Earth)","Good","Blue","Black","Male","Living",8,1978
"dc","Jezebelle of New Genesis (New Earth)","Good","Yellow","Red","Female","Deceased",8,1977
"dc","Lucian Crawley (New Earth)","Good","Brown","Brown","Male","Living",8,1969
"dc","Timothy Trench (New Earth)","Good","Blue","Brown","Male","Deceased",8,1969
"dc","Lita Brand (New Earth)","Neutral","Blue","Black","Female","Living",8,1968
"dc","Doctor Cyclops (New Earth)","Bad","Green","others","Male","Living",8,1967
"dc","Phillip Hunter (New Earth)","Good","Blue","Red","Male","Living",8,1966
"dc","Abner Krill (New Earth)","Bad","Blue","Black","Male","Deceased",8,1962
"dc","Daniel Dennis (New Earth)","Good","Blue","Brown","Male","Living",8,1952
"dc","Kimberly Rebecki (Prime Earth)","Neutral","Brown","Brown","Female","Living",7,2012
"dc","Anann (New Earth)","Bad","Green","Red","Female","Living",7,2011
"dc","Otto Netz (New Earth)","Bad","Black","Black","Male","Deceased",7,2011
"dc","Samantha Collins (New Earth)","Good","Blue","Red","Female","Living",7,2011
"dc","Bernard Venton (New Earth)","Bad","Brown","Brown","Male","Living",7,2010
"dc","Diana Lincoln (New Earth)","Good","Blue","others","Female","Living",7,2010
"dc","Sebastian Hady (New Earth)","Neutral","Black","Brown","Male","Living",7,2010
"dc","Amanda Beckett (New Earth)","Bad","Yellow","Black","Female","Living",7,2009
"dc","Mirabai (New Earth)","Bad","Blue","Brown","Female","Living",7,2009
"dc","Deborah Poulos (New Earth)","Neutral","Green","Blond","Female","Living",7,2008
"dc","Diro Yat (New Earth)","Bad","Black","Black","Male","Living",7,2008
"dc","Guy Dax (New Earth)","Bad","Green","Brown","Male","Living",7,2008
"dc","Jenna Duffy (New Earth)","Bad","Green","Brown","Female","Living",7,2008
"dc","John Denetto (New Earth)","Bad","Blue","Black","Male","Living",7,2008
"dc","Katherine Webb (New Earth)","Neutral","Blue","Black","Female","Living",7,2008
"dc","Marguerita Covas (New Earth)","Good","Brown","Brown","Female","Living",7,2008
"dc","Deborah Morgna (New Earth)","Bad","Green","Red","Female","Living",7,2007
"dc","Lazlo Valentin (New Earth)","Bad","Brown","Brown","Male","Living",7,2007
"dc","Phillip Lorens (New Earth)","Good","Blue","Blond","Male","Living",7,2007
"dc","Cheyenne Freemont (New Earth)","Good","Brown","Red","Female","Living",7,2006
"dc","Diego Zhao (New Earth)","Good","Brown","Brown","Male","Living",7,2006
"dc","Gonzo the Mechanical Bastard (New Earth)","Bad","Red","Black","Male","Living",7,2006
"dc","Kala Avasti (New Earth)","Good","Brown","Black","Female","Living",7,2006
"dc","Ryan Diaz (New Earth)","Good","Brown","Brown","Female","Living",7,2006
"dc","Thomas Dinawa (New Earth)","Good","Brown","Black","Male","Living",7,2006
"dc","Yasemin Soze (New Earth)","Bad","Brown","Black","Female","Deceased",7,2005
"dc","Crucifer (New Earth)","Bad","Black","Black","Male","Living",7,2004
"dc","Malcolm Allen (New Earth)","Good","Brown","Black","Male","Deceased",7,2004
"dc","Cinnamon II (New Earth)","Good","Green","Red","Female","Living",7,2003
"dc","Joanna Tanner (New Earth)","Good","Brown","Black","Female","Deceased",7,2003
"dc","Nora Fields (New Earth)","Neutral","Brown","Brown","Female","Living",7,2003
"dc","Simon Burton (New Earth)","Good","Brown","Brown","Male","Deceased",7,2002
"dc","Manuel Esperanza (New Earth)","Neutral","Brown","Black","Male","Living",7,2001
"dc","March (New Earth)","Bad","Blue","Blond","Male","Living",7,2000
"dc","Samuel Kurtis (New Earth)","Bad","Blue","Brown","Male","Deceased",7,2000
"dc","Red Panzer III (New Earth)","Bad","Black","Black","Male","Deceased",7,1999
"dc","Vext (New Earth)","Good","Blue","Brown","Male","Living",7,1999
"dc","Lea Corben (New Earth)","Good","Brown","Brown","Female","Living",7,1998
"dc","Tomorrow Woman (New Earth)","Good","Blue","Black","Female","Deceased",7,1997
"dc","Anthony Monetti (New Earth)","Bad","Blue","Black","Male","Living",7,1996
"dc","DJ (New Earth)","Good","Red","Red","Female","Deceased",7,1996
"dc","Kevin Soong (New Earth)","Good","Brown","Black","Male","Living",7,1996
"dc","Slyfox (New Earth)","Bad","Blue","Red","Male","Living",7,1996
"dc","Phillip Parsons (New Earth)","Bad","Brown","Black","Male","Living",7,1995
"dc","Seong Barclay (New Earth)","Good","Brown","Black","Female","Deceased",7,1995
"dc","Gillian Wahrman (New Earth)","Neutral","Brown","Brown","Female","Living",7,1994
"dc","Hector Rivera (New Earth)","Good","Brown","Brown","Male","Living",7,1994
"dc","Mala (New Earth)","Good","Blue","Blond","Female","Living",7,1994
"dc","Musashi (New Earth)","Bad","Brown","Black","Male","Living",7,1994
"dc","Paul Longo (New Earth)","Bad","Brown","Black","Male","Deceased",7,1994
"dc","Sandra Hawke (New Earth)","Good","Black","Brown","Female","Living",7,1994
"dc","Gunshot (New Earth)","Bad","Blue","Black","Male","Living",7,1993
"dc","Hannibal Martin (New Earth)","Good","Brown","Brown","Male","Living",7,1993
"dc","Layla (New Earth)","Good","others","others","Female","Living",7,1993
"dc","Robert Hawkins (Dakotaverse)","Good","Brown","Black","Male","Living",7,1993
"dc","Roderick (New Earth)","Bad","Red","Black","Male","Deceased",7,1993
"dc","Tony Bressi (New Earth)","Bad","Green","Blond","Male","Living",7,1993
"dc","Weapons Master (New Earth)","Bad","Blue","Black","Male","Living",7,1992
"dc","Bazil (New Earth)","Good","Brown","Brown","Male","Living",7,1990
"dc","Orin I (New Earth)","Good","Blue","Black","Male","Deceased",7,1990
"dc","Terri Henshaw (New Earth)","Good","Green","Red","Female","Deceased",7,1990
"dc","David Challoner (New Earth)","Neutral","Blue","Blond","Male","Living",7,1989
"dc","Felix Zumac (New Earth)","Good","Brown","Black","Male","Living",7,1989
"dc","Holly McKenzie (New Earth)","Bad","Blue","Black","Female","Living",7,1989
"dc","Lloyd Jefferson (New Earth)","Bad","Brown","Black","Male","Living",7,1989
"dc","Aleister Hook (New Earth)","Bad","Red","White","Male","Living",7,1988
"dc","Gemma Masters (New Earth)","Neutral","Brown","Black","Female","Living",7,1988
"dc","Madame Waxahachie (New Earth)","Good","Brown","Brown","Female","Living",7,1988
"dc","Mortimer Kadaver (New Earth)","Bad","Blue","Black","Male","Living",7,1988
"dc","Rose Shaw (New Earth)","Good","Green","Red","Female","Living",7,1988
"dc","Boris Dmitravich Razumihin (New Earth)","Good","Brown","Black","Male","Living",7,1987
"dc","Rumaan Harjavti (New Earth)","Bad","Brown","Black","Male","Deceased",7,1987
"dc","Lyle Byrnes (New Earth)","Bad","Blue","Brown","Male","Living",7,1986
"dc","Taryia (New Earth)","Good","Green","Red","Female","Living",7,1985
"dc","White Opal (New Earth)","Good","Blue","White","Male","Living",7,1985
"dc","Blythe Bonner (New Earth)","Bad","Black","Black","Female","Living",7,1984
"dc","Harvid (New Earth)","Good","Yellow","White","Male","Living",7,1983
"dc","Lord Amethyst (New Earth)","Good","Yellow","Blond","Male","Deceased",7,1983
"dc","Dalor (New Earth)","Good","Yellow","Red","Male","Living",7,1982
"dc","Elinore Stone (New Earth)","Good","Brown","Black","Female","Deceased",7,1981
"dc","Mister E (New Earth)","Good","Blue","Black","Male","Living",7,1980
"dc","Axe-Man (New Earth)","Bad","Black","Black","Male","Living",7,1977
"dc","Kong (New Earth)","Good","Blue","Blond","Male","Living",7,1975
"dc","Thanatos (New Earth)","Bad","Blue","Blond","Male","Deceased",7,1970
"dc","Brother Power (New Earth)","Good","Blue","Blond","Male","Living",7,1968
"dc","Iron Major (New Earth)","Bad","Blue","Blond","Male","Deceased",7,1965
"dc","Anais Guillot (New Earth)","Good","Blue","Black","Female","Deceased",7,1959
"dc","Knodar (New Earth)","Bad","Blue","Brown","Male","Living",7,1947
"dc","Sherlock Holmes (New Earth)","Good","Brown","Brown","Male","Living",7,1946
"dc","Thomas Revere (New Earth)","Good","Green","White","Male","Deceased",7,1942
"dc","Zachary Zor (New Earth)","Bad","Green","Black","Male","Living",7,1940
"dc","Rachel Niamo (Prime Earth)","Neutral","Brown","Brown","Female","Living",6,2012
"dc","Bellona (New Earth)","Bad","Black","Black","Female","Living",6,2011
"dc","Daniel Crow-Brings-Darkness (New Earth)","Good","Black","Black","Male","Living",6,2011
"dc","Iron Maiden (New Earth)","Bad","Green","Red","Female","Living",6,2011
"dc","Jeramey Chriqui (New Earth)","Good","Brown","Brown","Male","Living",6,2011
"dc","Jiro Osamu (New Earth)","Good","Black","Black","Male","Living",6,2011
"dc","Bizarro-Girl (New Earth)","Neutral","Red","Blond","Female","Living",6,2010
"dc","Clancy Johnson (New Earth)","Good","Green","Brown","Male","Deceased",6,2010
"dc","Dale Colton (New Earth)","Good","Brown","Brown","Male","Living",6,2010
"dc","Isabel Rochev (New Earth)","Bad","Blue","Blond","Female","Living",6,2010
"dc","Salvatore Guzzo (New Earth)","Bad","Brown","others","Male","Deceased",6,2010
"dc","Sebastien Mallory (New Earth)","Bad","Blue","Brown","Male","Living",6,2010
"dc","White Canary (New Earth)","Bad","Brown","Black","Female","Living",6,2010
"dc","Alessio Morandi (New Earth)","Neutral","Green","Black","Male","Living",6,2009
"dc","Narcissus (New Earth)","Neutral","Black","Black","Male","Living",6,2009
"dc","Chloe Roberts (New Earth)","Neutral","Blue","Blond","Female","Living",6,2008
"dc","Kwaku Anansi (New Earth)","Bad","Red","Red","Male","Living",6,2008
"dc","Topaz (New Earth)","Bad","Brown","Black","Female","Living",6,2008
"dc","Amnee Pree (New Earth)","Good","Yellow","others","Female","Living",6,2007
"dc","Ellie (New Earth)","Good","Green","Black","Female","Living",6,2007
"dc","Kyesha Salton (New Earth)","Good","Brown","others","Female","Living",6,2007
"dc","Lorna Shore (New Earth)","Good","Blue","Black","Female","Living",6,2007
"dc","Matoo Pree (New Earth)","Good","Yellow","others","Male","Living",6,2007
"dc","Bloodsport III (New Earth)","Bad","Brown","Black","Male","Living",6,2006
"dc","Griffin Grey (New Earth)","Bad","Blue","others","Male","Deceased",6,2006
"dc","Keane (New Earth)","Bad","Blue","others","Male","Living",6,2006
"dc","Little Barda (New Earth)","Good","Black","Brown","Female","Living",6,2006
"dc","Mallory Kimball (New Earth)","Good","Brown","Brown","Female","Living",6,2006
"dc","Scour (New Earth)","Neutral","Brown","Black","Male","Living",6,2006
"dc","Misty Kilgore (New Earth)","Good","Black","Black","Female","Living",6,2005
"dc","Thomas Ludlow Dalt (New Earth)","Neutral","Black","Black","Male","Living",6,2005
"dc","Virtuoso (New Earth)","Bad","Black","Black","Female","Living",6,2005
"dc","Albert Davis (New Earth)","Bad","Blue","Blond","Male","Living",6,2004
"dc","Erich Donnerstein (New Earth)","Bad","Blue","Blond","Male","Living",6,2004
"dc","Hwa Rang (New Earth)","Bad","Brown","Black","Male","Deceased",6,2004
"dc","Lyla (New Earth)","Good","Blue","others","Female","Living",6,2004
"dc","Naif al-Sheikh (New Earth)","Good","Brown","Black","Male","Living",6,2004
"dc","Sonja (New Earth)","Bad","Green","Black","Female","Living",6,2004
"dc","Doctor Rovin (New Earth)","Good","Brown","Brown","Male","Living",6,2003
"dc","Sylvia Sinclair (New Earth)","Bad","Blue","Blond","Female","Deceased",6,2002
"dc","Madison (Dakotaverse)","Good","Brown","Black","Female","Living",6,2001
"dc","Amsel Reiniger (New Earth)","Bad","Blue","Blond","Male","Living",6,2000
"dc","Diego Irigoyen (New Earth)","Good","Blue","Blond","Male","Living",6,2000
"dc","Maxwell Williams (New Earth)","Good","Brown","Brown","Male","Living",6,2000
"dc","Ryuku Orsono (New Earth)","Good","Black","Black","Male","Deceased",6,2000
"dc","Damien Darhk (New Earth)","Bad","Blue","Brown","Male","Deceased",6,1999
"dc","Dina Bell (New Earth)","Good","Green","Red","Female","Living",6,1999
"dc","Ratsputin (New Earth)","Bad","Red","others","Male","Living",6,1998
"dc","Sacker (New Earth)","Bad","Blue","White","Male","Living",6,1998
"dc","Sweet Sixteen (New Earth)","Bad","Blue","Red","Female","Living",6,1998
"dc","Cassandra Cartland (New Earth)","Bad","Green","Brown","Female","Living",6,1997
"dc","Jarrod Jupiter (New Earth)","Bad","Blue","Brown","Male","Living",6,1997
"dc","Scorcher III (New Earth)","Bad","Brown","Black","Female","Deceased",6,1997
"dc","Beta Tos (New Earth)","Good","White","Red","Female","Living",6,1996
"dc","Cleveden Forbes (New Earth)","Good","Brown","Black","Male","Living",6,1996
"dc","Ephyra (New Earth)","Good","White","others","Female","Living",6,1996
"dc","Joy Page (New Earth)","Good","Blue","Blond","Female","Living",6,1996
"dc","Jack Weston (New Earth)","Good","Brown","Brown","Male","Deceased",6,1995
"dc","John LaMonica (New Earth)","Bad","Brown","Black","Male","Deceased",6,1995
"dc","Adara (New Earth)","Bad","Blue","others","Female","Deceased",6,1994
"dc","Damien Kane (New Earth)","Neutral","Brown","Brown","Male","Living",6,1994
"dc","Jonathan Kellor (New Earth)","Bad","Blue","Brown","Male","Living",6,1994
"dc","Loria (New Earth)","Good","Green","Black","Female","Deceased",6,1994
"dc","Angora Lapin (New Earth)","Bad","others","White","Female","Living",6,1993
"dc","Camille Sly (New Earth)","Good","Blue","Black","Female","Living",6,1993
"dc","Ewald Olafsson (New Earth)","Bad","Blue","White","Male","Deceased",6,1993
"dc","FerAlyce (New Earth)","Good","Yellow","Black","Female","Living",6,1993
"dc","Daniel William Ducannon (New Earth)","Bad","Blue","White","Male","Living",6,1992
"dc","Hi-Tech (New Earth)","Bad","Blue","Red","Female","Living",6,1992
"dc","Jordan Wylie (New Earth)","Bad","Blue","Brown","Male","Living",6,1992
"dc","Pyotr Raskov (New Earth)","Good","Brown","others","Male","Deceased",6,1991
"dc","Sumaan Harjavti (New Earth)","Bad","Brown","Black","Male","Living",6,1991
"dc","Dardanus (New Earth)","Bad","Black","Blond","Male","Deceased",6,1990
"dc","Marvin Noronsa (New Earth)","Bad","Brown","Black","Male","Deceased",6,1990
"dc","Tanya Fox (New Earth)","Good","Brown","Black","Female","Living",6,1990
"dc","Terri Eckhart (New Earth)","Good","Green","Red","Female","Living",6,1990
"dc","Azure (New Earth)","Bad","Blue","Black","Female","Living",6,1989
"dc","Churljenkins (New Earth)","Good","Black","others","Female","Living",6,1989
"dc","Lennox (New Earth)","Bad","Blue","White","Male","Deceased",6,1989
"dc","Maritza Nitumbe (New Earth)","Good","Brown","Brown","Female","Living",6,1989
"dc","Nehebka (New Earth)","Good","Brown","Brown","Female","Deceased",6,1989
"dc","Quiz (New Earth)","Bad","Brown","Black","Female","Living",6,1989
"dc","Rosa Rubikskova (New Earth)","Good","Green","Brown","Female","Living",6,1989
"dc","Choi (New Earth)","Bad","Brown","Black","Male","Living",6,1988
"dc","Katina Leikos (New Earth)","Bad","Brown","Black","Female","Deceased",6,1988
"dc","Legs (New Earth)","Neutral","Brown","Black","Male","Living",6,1988
"dc","Robert DuBois (New Earth)","Bad","Brown","Black","Male","Deceased",6,1987
"dc","Jonathan Mann (New Earth)","Good","Blue","Brown","Male","Deceased",6,1986
"dc","Benjamin Love (New Earth)","Bad","Black","Black","Male","Deceased",6,1985
"dc","Vance Vanucci (New Earth)","Bad","Blue","Blond","Male","Living",6,1985
"dc","Haifisch (New Earth)","Bad","Blue","others","Male","Deceased",6,1984
"dc","Kamah (New Earth)","Bad","Red","others","Female","Deceased",6,1984
"dc","Mama Madame (New Earth)","Neutral","White","White","Female","Living",6,1984
"dc","Thomas Corbett (New Earth)","Good","Blue","Black","Male","Living",6,1984
"dc","Princess Topaz (New Earth)","Neutral","Yellow","Black","Female","Living",6,1983
"dc","Voss (New Earth)","Good","Red","Black","Male","Living",6,1983
"dc","Carl Woods (New Earth)","Good","Brown","Black","Male","Living",6,1981
"dc","Timothy Fox (New Earth)","Bad","Brown","Black","Male","Living",6,1979
"dc","Madame Zodiac (New Earth)","Bad","Blue","Red","Female","Living",6,1978
"dc","Barney Sands (New Earth)","Good","Blue","Brown","Male","Living",6,1977
"dc","Richard Benson (New Earth)","Good","others","White","Male","Living",6,1975
